bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-simon_run-1_bold	0.0008260666666666666	0.012146126466666667	1	31.23225702402684	1.0944541446308726	1.013626736778523	0.5617900649154001	1118.693603515625	0.0729460128619535	7	4.666666666666667	1.8814158333333333	1.8111866666666667	2.124493333333333	1.7085675	0.0133062	-0.0011673946864902973	0.06285185366868973	150	64	64	40	7.203487028320977	2.0	3.0	3.0	4.0	21.813787675505285	8.085126285112953	46.54351806640625	19.079999923706055	95560.0	12.926667213439941	173.75534133911145	69.93133544921875	2.057795103370119	84.73572998113184	664.5142211914062	659.126708984375	32219.0	527.5066528320312	810.8340393066406	91.49964141845703	47.50038915872574
sub-01_task-simon_run-2_bold	0.0007403973509933775	0.009535411390728476	0	31.421805839333338	1.1030975493333333	1.0126028124	0.5625223940896934	1129.4310302734375	0.061223806666843836	2	1.3245033112582782	1.8685152777777778	1.7981466666666668	2.0974166666666667	1.7099825	0.00932821	-0.00029675327823497355	0.06144830584526062	151	64	64	40	7.198947134269512	2.0	3.0	3.0	4.0	22.03631909051311	7.687929388921951	46.688018798828125	18.960264205932617	95422.0	13.34437084197998	174.91324768066403	69.8941421508789	2.289006626207116	85.11705845700969	666.7405395507812	661.052978515625	32140.0	531.5824340820312	813.5976654052735	91.82491302490234	51.59543702378869
sub-02_task-simon_run-1_bold	0.001204228187919463	0.009544171208053691	2	26.74544523844595	1.0658142633783791	1.0207857974324324	0.5140741322632832	1890.1143798828125	0.09066086450062652	6	4.026845637583893	1.7257613888888887	1.6794966666666669	1.94493	1.5528575	0.0198651	-0.013956583105027676	0.04765568673610687	149	64	64	40	7.8189068961759345	2.0	3.0	3.0	4.0	35.81045142984202	4.5473112513947695	36.54835891723633	15.469799041748047	102015.0	12.046979904174805	134.8650970458982	59.61863708496094	2.1541913291814883	84.32426804951899	691.2352294921875	683.7147827148438	27516.0	569.28857421875	837.1090393066406	87.44219207763672	57.90412276261486
sub-02_task-simon_run-2_bold	0.0012448666666666668	0.009676059800000001	1	26.08798911651007	1.071309770738255	1.028115910536912	0.5128758211010118	1897.517822265625	0.0689872874071783	0	0.0	1.726552222222222	1.6873033333333334	1.9371033333333332	1.55525	0.0122235	-0.013224685564637184	0.04760080575942993	150	64	64	40	7.836511955175459	2.0	3.0	3.0	4.0	37.33322989743473	4.744326816433995	36.41712951660156	15.533333778381348	102249.0	11.853333473205566	131.31067199707024	59.74479675292969	2.2102697619786458	84.05365513848133	694.334716796875	686.7100219726562	27416.0	571.7066955566406	840.1833343505859	87.6279525756836	58.234956600586884
sub-03_task-simon_run-1_bold	0.0022555629139072845	0.01111364536423841	0	29.603660405533333	1.1026145041333333	1.0311025324666665	0.5448945506794458	1292.97412109375	0.14530146535260025	27	17.880794701986755	1.9981755555555554	1.89736	2.3336966666666665	1.76347	0.0299255	0.010975386016070843	0.04582272469997406	151	64	64	40	6.6557553502724	2.0	3.0	3.0	4.0	21.19800599255101	8.48323515948287	46.779212951660156	19.350994110107422	98167.0	13.019867897033691	180.29470825195304	68.34016418457031	2.6701717463061803	88.5929028060709	709.4647827148438	710.3775024414062	29949.0	530.949658203125	868.3695434570312	106.72953033447266	48.79059330839664
sub-03_task-simon_run-2_bold	0.0017008666666666664	0.015564243333333335	1	29.179536806778522	1.0330655650335576	0.9863668747651005	0.5448701865931834	1270.8521728515625	0.16483390292204306	29	19.333333333333332	1.9926197222222222	1.8850300000000002	2.3278966666666667	1.7649325	0.0132165	0.011162103153765202	0.04706241190433502	150	64	64	40	6.793884579899658	2.0	3.0	3.0	4.0	21.946777141102203	8.856077289577987	47.09981155395508	19.579999923706055	98267.0	12.966667175292969	181.7340042114257	68.7821273803711	2.614322686840329	88.17528749610975	714.100830078125	714.0533447265625	29775.0	538.217333984375	871.3953674316406	105.10060119628906	43.98231635335833
sub-04_task-simon_run-1_bold	0.0007323333333333332	0.012103807933333334	1	25.795754631275162	1.0318453769798654	1.0089485985906042	0.5418721983374107	1530.37451171875	0.05704161930085516	3	2.0	1.7827291666666667	1.72274	2.02025	1.6051975	0.0142044	-0.0059768944047391415	0.04191817343235016	150	64	64	40	7.528189712614221	2.0	3.0	3.0	4.0	40.43865119342869	6.098437672168643	38.36517333984375	17.380001068115234	95771.0	12.796667098999023	135.90333557128906	62.387908935546875	2.6365231083254432	85.54616610594485	700.5538940429688	693.8733520507812	32115.0	569.366015625	851.1100341796874	92.1685791015625	52.17954983818345
sub-04_task-simon_run-2_bold	0.0006870666666666667	0.009656681333333333	1	27.01860264013423	1.0685122858389262	1.018558005033557	0.5411186196610783	1587.1962890625	0.05154216607456014	0	0.0	1.7547358333333332	1.6968466666666666	1.9819733333333334	1.5853875	0.00734369	-0.005507613066583872	0.0425708144903183	150	64	64	40	7.520373880646004	2.0	3.0	3.0	4.0	39.64430220280982	5.841452118787423	38.68852233886719	17.18000030517578	95953.0	12.864000320434572	137.59067077636703	63.72805404663086	2.8709628824661078	86.22819570316632	705.4534912109375	698.5	32019.0	574.4426574707031	857.6547119140624	92.87957000732422	56.267702516168356
sub-05_task-simon_run-1_bold	0.0007799328859060404	0.008494248187919462	2	24.66928706297297	1.073769397094595	1.000613933648649	0.47878905783358505	2246.51416015625	0.08267589911223318	5	3.3557046979865772	1.9019025	1.8480366666666665	2.1000733333333335	1.7575975	0.00913998	0.0009218404302373528	0.052320122718811035	149	64	64	40	6.821311909270505	2.0	3.0	3.0	4.0	32.220701402899714	5.005026736754774	36.339359283447266	15.154362678527832	108409.0	11.067113876342773	130.68188476562494	61.89635467529297	1.6558032392662438	93.70246910660305	732.1553344726562	722.5906372070312	23205.0	566.90068359375	903.692626953125	105.92904663085938	57.71116112638265
sub-05_task-simon_run-2_bold	0.0007804666666666665	0.0074906899333333325	1	24.765155177583885	1.0945504151677854	1.019042846174497	0.4793705306139696	2229.55322265625	0.09090325523269274	4	2.6666666666666665	1.9061694444444444	1.8412266666666666	2.1059966666666665	1.771285	0.00485184	0.0011725922813639045	0.051517054438591	150	64	64	40	6.813025607380112	2.0	3.0	3.0	4.0	31.421261925316742	5.15945504171806	36.67963790893555	15.206666946411133	108410.0	11.0	132.76666259765625	62.7176399230957	1.8753977940641198	92.92949619702816	731.454345703125	722.4300537109375	23172.0	567.5599975585938	902.3096954345704	106.03430938720703	60.69498454988934
